Date,Time,Temperature,메인압력,빌렛길이,콘테이너온도 앞쪽,콘테이너온도 뒷쪽,생산카운터,현재속도,압출종료 위치,Mold1,Mold2,Mold3,Mold4,Mold5,Mold6,Billet_Temp,At_Pre,At_Temp
2025-12-08,23:24:58.877,545.0,162.3,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:24:59.120,544.5,162.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:24:59.296,544.5,162.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:24:59.478,544.5,162.1,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:24:59.686,544.9,162.0,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:24:59.885,544.3,161.9,0,428,429,5,3.4,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:00.091,544.3,161.9,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:00.284,544.9,161.8,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:00.484,544.9,161.8,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:00.693,545.0,161.7,0,428,429,5,3.4,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:00.886,544.5,161.6,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:01.081,545.1,161.5,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:01.303,544.7,161.4,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:01.487,545.1,161.3,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:01.682,544.7,161.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:01.893,544.6,161.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.6,25.7
2025-12-08,23:25:02.095,545.0,161.1,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:02.281,545.0,161.0,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:02.488,544.6,160.9,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:02.678,544.5,160.8,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:02.891,544.8,160.7,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:03.097,544.6,160.7,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:03.303,544.5,160.7,0,428,429,5,3.4,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:03.492,544.3,160.6,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:03.683,544.9,160.5,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:03.905,544.7,160.5,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:04.091,544.5,160.4,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:04.281,544.2,160.4,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:04.483,544.7,160.3,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:04.679,544.8,160.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:04.884,544.2,160.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:05.085,544.3,160.1,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:05.286,544.8,160.0,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:05.480,544.8,159.9,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:05.686,544.8,159.8,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:05.883,544.6,159.7,0,428,429,5,3.5,1015.0,477,479,479,479,478,420,23,9.5,25.7
2025-12-08,23:25:06.087,544.9,159.6,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:06.286,544.7,159.5,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:06.481,545.0,159.5,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:06.687,544.6,159.4,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:06.884,544.5,159.3,0,428,429,5,3.4,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:07.090,544.7,159.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:07.282,545.4,159.2,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,23,9.5,25.7
2025-12-08,23:25:07.488,545.2,159.1,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,27,9.5,25.7
2025-12-08,23:25:07.689,544.4,159.0,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,27,9.5,25.7
2025-12-08,23:25:07.886,545.0,158.9,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,27,9.5,25.7
2025-12-08,23:25:08.113,545.3,158.9,0,428,429,5,3.4,1015.0,477,479,479,479,478,421,27,9.5,25.7
2025-12-08,23:25:08.293,545.3,158.8,0,428,429,5,3.5,1015.0,477,479,479,479,478,421,296,9.5,25.7
