Address,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
D0010,0,0,1815,25,0,0,0,0,0,0
D0050,0,0,0,0,0,500,0,0,0,0
D0090,0,0,0,0,0,0,0,0,0,30
D0100,0,0,0,0,100,100,0,0,0,0
D0190,0,0,0,0,0,0,0,0,0,1292
D0300,1,1,0,0,0,1,1,0,1040,200
D0310,2250,200,0,0,0,0,2250,0,0,0
D0400,-1370,0,2200,2200,100,2950,2850,5050,150,70
D0410,0,7430,500,7930,0,150,10,0,0,0
D0430,800,0,0,0,0,1100,0,0,0,0
D0440,9970,0,0,0,0,0,0,0,0,0
D0500,2775,-960,170,800,500,1600,400,7750,1300,6450
D0510,11050,9750,300,254,600,9064,9664,0,0,0
D0600,500,750,40,750,40,2900,300,2800,3000,700
D0610,850,0,0,0,0,0,0,0,0,0
D0700,0,200,0,0,0,0,0,0,0,0
D0710,50,100,200,300,400,0,0,0,0,0
D0720,60,90,90,90,90,0,0,0,0,0
D0980,0,0,0,0,0,0,0,0,1,0
D0990,0,0,0,0,0,0,0,0,0,500
D1000,0,40,0,0,0,0,0,0,0,0
D1300,0,0,50,0,0,0,0,0,0,0
D1310,0,0,275,0,0,0,0,0,0,0
D1320,0,0,0,0,0,350,0,150,0,0
D1340,275,0,0,0,0,0,0,0,0,0
D1410,0,380,400,200,250,1000,250,980,850,1000
D1420,0,900,250,700,1000,450,200,550,400,0
D1430,240,200,240,200,0,0,0,0,0,0
D1440,200,500,300,250,0,0,0,0,0,0
D1450,1,0,0,0,0,0,0,0,0,0
D1520,29,0,124,0,218,0,0,0,0,0
D1600,13500,10000,12500,100,2500,3500,3500,3500,1650,400
D1610,500,0,0,0,0,0,0,0,0,0
D1700,0,1000,0,0,0,0,0,0,0,0
D1800,7300,3000,0,0,0,0,0,0,0,0
D1920,426,881,-50,685,460,881,90,1000,80,-1000
D1930,-80,0,0,0,-1000,-850,-70,200,100,900
D1940,70,0,0,0,0,0,0,0,0,0
D1950,0,0,0,0,0,0,0,0,0,5
D1960,40,0,1000,1300,0,0,3,500,0,0
